startupID,startupName,ICB_industry,accelaratorResult,accelerator,accleratorDate,ICB_sector,businessModel,dealInvestmentAmount,description,equityValuation,foundedDate,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupStatus,state,founderName,city,website,Lat,Lon
YNOS0001,100RUPIS.COM,Consumergoods,,,,personal and household goods,B2C,,"platform where people can buy and sell products,  and services for just 100 rupees. Their goal is to help people make a living with their site. If sellers can focus on volume there is a big market waiting for them.",,2014-01-01,['Household Products'],,,,,[''],,['Platform to buy and sell products at 100 rupees'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Consumer Products and Services'],Angel investment,Maharashtra,['KEERTHI KADHAM'],Pune,,18.50989,73.807182
YNOS0002,14 SQUARE,Technology,,,,Software & Computer Services,B2C,,Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.,,2009-02-01,['Payments and Wallet'],,,,,[''],,['Mobile payment technology'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Fin-Tech and Payments'],Angel investment,California,"['JIM MC KELVEY',  'JACK DORSEY']",San Francisco,,13.094454,77.586014
YNOS0003,1CROWD,Financials,,,,Financial services,B2B,,1crowd is a unique equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures with an array of capital solutions and co-investment commitment.,,2015-01-01 0:00:00,['Crowdfunding'],,,,,['GANESH NATARAJAN'],,['Crowd funding platform'],,"[Timestamp('2017-02-01 00:00:00'),  '',  '']","['',  '',  '']","[1.0,  '',  '']","['Angel investors',  '',  '']","['',  '',  '']",VI,,['Fin-Tech and Payments'],Angel investment,Maharashtra,[],Mumbai,,19.180874,72.857452
YNOS0004,1MG (HEALTHKARTPLUS),Healthcare,B2C,,,Healthcare,B2C,,1mg is an online pharmacy network and generic medicine engine.,,2012-01-01,['Paramedical services'],,,,['Private Equity'],['DEEP KALRA'],['Angel'],['Online pharmacy'],[''],[Timestamp('2015-04-20 00:00:00')],[384.9148954],,,,TrakIn,['Series B'],['Health-Tech'],Angel investment,Haryana,"['Sameer Maheshwari',  'Prashanth Tandon']",Gurgaon,,28.457523,77.026344
YNOS0005,1PLIFY,Technology,,,,Software & Computer Services,B2C,,1Plify is a global admission portal that allows students to directly connect with institutions of their choice around the world.,,,['Training for entrance exams'],NUMA Accelerator,2016-05-01 0:00:00,,,[''],,['Student Addmission portal'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Edu-Tech'],,Karnataka,[],Bengaluru,,13.094454,77.586014
YNOS0006,20DRESSES,Consumerservices,,,,personal and household goods,B2C,"[21.38416086,  21.38416086,  21.38416086]","20Dresses is an exclusive Members-Only site where the users get their PERSONAL STYLIST setting up their PERSONAL SHOWROOM filled with trendiest fashion products. These products are handpicked and purchased keeping specifically in mind their fashion profile,  taste,  size and latest trends!","['',  '',  '']",,['Specialized Consumer Services'],,,,"['Seed Funding',  'Seed Funding',  'Seed Funding']","['BS NAGESH',  'SRINIVAS ALURI',  'SRINIVAS MODUKURY']","['Angel',  'Angel',  'Angel']","['personal stylist', 'fashion']","['http://www.indiainfoline.com/article/news-sector-others/mr-b-s-nagesh-managing-director-and-ceo-shoppers-stop-ltd-1131114001771.html',  '',  '']","[Timestamp('2015-02-13 00:00:00'),  Timestamp('2015-02-13 00:00:00'),  Timestamp('2015-02-13 00:00:00')]","[64.15248257,  64.15248257,  64.15248257]",,,,TrakIn,"['Seed',  'Seed',  'Seed']",['Consumer Products and Services'],Angel investment,Maharashtra,['Sumant Kasliwal'],Mumbai,,19.180874,72.857452
YNOS0007,21G DESIGN WORK,Technology,,,,Technology Hardware & Equipment,B2C,,Design and Development of High Performance Cricket Leg Gear,,,['Wearable Technology'],NDBI,2015-01-01 0:00:00,,,[''],,['Sports wearable'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Technology'],,,[],Bengaluru,http://www.21g.in,13.094454,77.586014
YNOS0008,2MPOWER HEALTH MANAGEMENT SERVICES,Healthcare,,,,Healthcare,B2C,,"2mpower Health Management Services Pvt. Ltd. develops a fitness activity device. The company offers an easy-to-carry device that tracks the statistics of daily activities of the customer. Its device tracks various data,  such as sleep hours,  calories burnt,  and distance travelled.",,2014-01-01 0:00:00,['Wearable Technology'],,,,,[''],,['Fitness activity device developers'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",Deal curry,,['Technology'],Angel investment,Karnataka,['Mohammed Hussain Naseem'],Bengaluru,,13.094454,77.586014
YNOS0009,3 IT TECH (ONLINE CLASSIFIED),Technology,,,,Software & Computer Services,,,,,,[],,,,,[''],,[],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Software and Internet Services'],Angel investment,,[],,,,
YNOS0010,30 SECONDS CV,Technology,,,,Software & Computer Services,B2C,,"30secondscv.com created for the job hunters and recruiters to come at a common platform where they can connect up and look for mutual benefit. We believe that softer skills play a key role in a selection of any employee. Hence our concept is for a job hunter to create a 30 second video of himself,  highlighting his qualifications and KRA's for the recruiters. It also works well with the recruiters who are on deadlines to hire,  and can shortlist the candidates based on the short video along with his CV.",,,['Social platforms for Educational sector'],,,,,[''],,['Platform for job hunters and recruiters'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Social Platforms'],Angel investment,Delhi,[],New Delhi,,28.526592,77.290169
YNOS0011,33COUPONS.IN,Technology,,,,Software & Computer Services,B2C,,33Coupons.in gives you the updated and reliable information of all the latest coupon codes or promotional codes available on several leading e-retailers/ merchants in India.,,2015-01-01 0:00:00,['Specialized Consumer Services'],,,,,[''],,['A place to find top discount offers'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",Deal curry,,['Consumer Products and Services'],Angel investment,Uttar Pradesh,['Sanjeev Kumar'],Kanpur,,26.449923,80.331871
